document,page_number,id,label,category,confidence,ymin,xmin,ymax,xmax
1 - Drawings.pdf,1,1,LEVEL 1 - FINISH FLOOR PLAN - NORTH - AREA A,sub_drawing,high,69,37,976,803
1 - Drawings.pdf,1,2,N-1,grid_line,high,69,58,86,70
1 - Drawings.pdf,1,3,N-2,grid_line,high,69,142,86,154
1 - Drawings.pdf,1,4,N-3,grid_line,high,69,226,86,238
1 - Drawings.pdf,1,5,N-4,grid_line,high,69,393,86,405
1 - Drawings.pdf,1,6,N-5,grid_line,high,69,476,86,488
1 - Drawings.pdf,1,7,N-6,grid_line,high,69,572,86,584
1 - Drawings.pdf,1,8,N-7,grid_line,high,69,742,86,754
1 - Drawings.pdf,1,9,N-E,grid_line,high,128,789,145,801
1 - Drawings.pdf,1,10,N-F,grid_line,high,261,789,278,801
1 - Drawings.pdf,1,11,N-G,grid_line,high,394,789,411,801
1 - Drawings.pdf,1,12,N-H,grid_line,high,527,789,544,801
1 - Drawings.pdf,1,13,N-I,grid_line,high,660,789,677,801
1 - Drawings.pdf,1,14,N-J,grid_line,high,736,789,753,801
1 - Drawings.pdf,1,15,N-K,grid_line,high,790,789,807,801
1 - Drawings.pdf,1,16,"CLASSROOM
(40)
N106
P-1/4
WB-2
CPT-2/3",room_label,high,242,97,278,113
1 - Drawings.pdf,1,17,"GRAD LAB
LARGE
N110
P-1
WB-2
CPT-2/3",room_label,high,233,263,269,279
1 - Drawings.pdf,1,18,"GRAD LAB
LARGE
N114
P-1
WB-2
CPT-2/3",room_label,high,233,346,269,362
1 - Drawings.pdf,1,19,"COLLAB.
N107B
P-1/2/4
WB-2
CONC-1/CPT-3",room_label,high,278,204,314,224
1 - Drawings.pdf,1,20,"CYBER
RANGE LAB
N111
P-1
WB-2
CPT-2/3",room_label,high,311,263,347,280
1 - Drawings.pdf,1,21,"GRAD LAB
MEDIUM
N115
P-1
WB-2
CPT-2/3",room_label,high,321,348,357,364
1 - Drawings.pdf,1,22,"GRAD LAB
MEDIUM
N116
P-1
WB-2
CPT-2/3",room_label,high,386,348,422,364
