document,page_number,name,heading,description,location,csv,html,xmin,ymin,xmax,ymax
1 - Drawings.pdf,1,GENERAL SHEET NOTES,GENERAL SHEET NOTES,,,tables/1_Drawings/p001_GENERAL_SHEET_NOTES.csv,tables/1_Drawings/p001_GENERAL_SHEET_NOTES.html,813,435,888,564
1 - Drawings.pdf,1,GRAPHIC LEGEND,GRAPHIC LEGEND,,,tables/1_Drawings/p001_GRAPHIC_LEGEND.csv,tables/1_Drawings/p001_GRAPHIC_LEGEND.html,814,22,905,364
1 - Drawings.pdf,1,SHEET KEYNOTES,SHEET KEYNOTES,,,tables/1_Drawings/p001_SHEET_KEYNOTES.csv,tables/1_Drawings/p001_SHEET_KEYNOTES.html,814,626,888,664
1 - Drawings.pdf,2,GENERAL SHEET NOTES,GENERAL SHEET NOTES,,,tables/1_Drawings/p002_GENERAL_SHEET_NOTES.csv,tables/1_Drawings/p002_GENERAL_SHEET_NOTES.html,813,435,1000,564
1 - Drawings.pdf,2,GRAPHIC LEGEND,GRAPHIC LEGEND,,,tables/1_Drawings/p002_GRAPHIC_LEGEND.csv,tables/1_Drawings/p002_GRAPHIC_LEGEND.html,824,22,1000,364
1 - Drawings.pdf,3,GENERAL SHEET NOTES,GENERAL SHEET NOTES,,,tables/1_Drawings/p003_GENERAL_SHEET_NOTES.csv,tables/1_Drawings/p003_GENERAL_SHEET_NOTES.html,810,24,1000,393
1 - Drawings.pdf,3,SHEET KEYNOTES,SHEET KEYNOTES,,,tables/1_Drawings/p003_SHEET_KEYNOTES.csv,tables/1_Drawings/p003_SHEET_KEYNOTES.html,793,501,1000,571
1 - Drawings.pdf,4,GENERAL SHEET NOTES,GENERAL SHEET NOTES,,,tables/1_Drawings/p004_GENERAL_SHEET_NOTES.csv,tables/1_Drawings/p004_GENERAL_SHEET_NOTES.html,810,22,1000,392
1 - Drawings.pdf,4,SHEET KEYNOTES,SHEET KEYNOTES,,,tables/1_Drawings/p004_SHEET_KEYNOTES.csv,tables/1_Drawings/p004_SHEET_KEYNOTES.html,811,506,1000,628
1 - Drawings.pdf,5,Ex Switchboard Schedule: MSB-NORTH,Ex Switchboard: MSB-NORTH,"Electrical panel schedule for MSB-NORTH including circuit descriptions, trip ratings, load classifications, and demand factor calculations.",center,tables/1_Drawings/p005_Ex_Switchboard_Schedule_MSB_NORTH.csv,tables/1_Drawings/p005_Ex_Switchboard_Schedule_MSB_NORTH.html,463,234,755,468
1 - Drawings.pdf,5,Ex Switchboard Schedule: MSB-SOUTH,Ex Switchboard: MSB-SOUTH,"Electrical panel schedule for MSB-SOUTH including circuit descriptions, trip ratings, load classifications, and demand factor calculations.",center left,tables/1_Drawings/p005_Ex_Switchboard_Schedule_MSB_SOUTH.csv,tables/1_Drawings/p005_Ex_Switchboard_Schedule_MSB_SOUTH.html,107,234,398,468
1 - Drawings.pdf,5,Feeder Schedule,FEEDER SCHEDULE,"Table mapping feeder tags (e.g., A110-3, A300) to specific wire sizes, conduit sizes, and grounding requirements.",bottom right,tables/1_Drawings/p005_Feeder_Schedule.csv,tables/1_Drawings/p005_Feeder_Schedule.html,807,741,977,843
1 - Drawings.pdf,5,General Sheet Notes,GENERAL SHEET NOTES,"Numbered list of general electrical notes (A-E) regarding abbreviations, manufacturer compliance, and voltage drop.",top right,tables/1_Drawings/p005_General_Sheet_Notes.csv,tables/1_Drawings/p005_General_Sheet_Notes.html,807,18,977,135
1 - Drawings.pdf,5,Sheet Keynotes,SHEET KEYNOTES,"Reference notes for specific drawing elements, including circuit breaker and emergency lighting inverter specifications.",center right,tables/1_Drawings/p005_Sheet_Keynotes.csv,tables/1_Drawings/p005_Sheet_Keynotes.html,807,511,977,611
1 - Drawings.pdf,5,Short-Circuit Calculations (North),Short-Circuit Calculations,"Calculations for fault points at the existing MSB-NORTH and associated transformers, including source amps, wire/bus size, and XFMR data.",top center,tables/1_Drawings/p005_Short_Circuit_Calculations_North.csv,tables/1_Drawings/p005_Short_Circuit_Calculations_North.html,463,95,755,207
1 - Drawings.pdf,5,Short-Circuit Calculations (South),Short-Circuit Calculations,"Calculations for fault points at the existing MSB-SOUTH and associated transformers, including source amps, wire/bus size, and XFMR data.",top left,tables/1_Drawings/p005_Short_Circuit_Calculations_South.csv,tables/1_Drawings/p005_Short_Circuit_Calculations_South.html,107,95,400,207
1 - Drawings.pdf,6,GENERAL SHEET NOTES,GENERAL SHEET NOTES,,,tables/1_Drawings/p006_GENERAL_SHEET_NOTES.csv,tables/1_Drawings/p006_GENERAL_SHEET_NOTES.html,811,18,999,162
1 - Drawings.pdf,6,SHEET KEYNOTES,SHEET KEYNOTES,,,tables/1_Drawings/p006_SHEET_KEYNOTES.csv,tables/1_Drawings/p006_SHEET_KEYNOTES.html,811,501,999,540
1 - Drawings.pdf,6,Table 2,Table 2,,,tables/1_Drawings/p006_Table_2.csv,tables/1_Drawings/p006_Table_2.html,908,497,980,606
1 - Drawings.pdf,7,GENERAL SHEET NOTES,GENERAL SHEET NOTES,,,tables/1_Drawings/p007_GENERAL_SHEET_NOTES.csv,tables/1_Drawings/p007_GENERAL_SHEET_NOTES.html,811,18,1000,162
1 - Drawings.pdf,7,SHEET KEYNOTES,SHEET KEYNOTES,,,tables/1_Drawings/p007_SHEET_KEYNOTES.csv,tables/1_Drawings/p007_SHEET_KEYNOTES.html,811,501,1000,725
3 - Finishes Product Schedule.pdf,1,Table 1,Table 1,,,tables/3_Finishes_Product_Schedule/p001_Table_1.csv,tables/3_Finishes_Product_Schedule/p001_Table_1.html,66,93,924,838
