Short-Circuit Calculations,Short-Circuit Calculations.1,Short-Circuit Calculations.2,Short-Circuit Calculations.3,Short-Circuit Calculations.4,Short-Circuit Calculations.5,Short-Circuit Calculations.6,Short-Circuit Calculations.7,Short-Circuit Calculations.8,Short-Circuit Calculations.9,Short-Circuit Calculations.10,Short-Circuit Calculations.11,Short-Circuit Calculations.12,Short-Circuit Calculations.13,Unnamed: 14
"The following calculations are based on the ""Point-by Point"" method where:  f = 1.732 x L x I / C x E  M = 1 / (1+f)  Isc = Isc x M  XFMR: f = (IP(sca) x Vp x %Z) / (100,000 x KVA)  IS(sca) = (Vp x M x IP(sca)) / Vs","The following calculations are based on the ""Point-by Point"" method where:  f = 1.732 x L x I / C x E  M = 1 / (1+f)  Isc = Isc x M  XFMR: f = (IP(sca) x Vp x %Z) / (100,000 x KVA)  IS(sca) = (Vp x M x IP(sca)) / Vs","The following calculations are based on the ""Point-by Point"" method where:  f = 1.732 x L x I / C x E  M = 1 / (1+f)  Isc = Isc x M  XFMR: f = (IP(sca) x Vp x %Z) / (100,000 x KVA)  IS(sca) = (Vp x M x IP(sca)) / Vs","The following calculations are based on the ""Point-by Point"" method where:  f = 1.732 x L x I / C x E  M = 1 / (1+f)  Isc = Isc x M  XFMR: f = (IP(sca) x Vp x %Z) / (100,000 x KVA)  IS(sca) = (Vp x M x IP(sca)) / Vs","The following calculations are based on the ""Point-by Point"" method where:  f = 1.732 x L x I / C x E  M = 1 / (1+f)  Isc = Isc x M  XFMR: f = (IP(sca) x Vp x %Z) / (100,000 x KVA)  IS(sca) = (Vp x M x IP(sca)) / Vs","The following calculations are based on the ""Point-by Point"" method where:  f = 1.732 x L x I / C x E  M = 1 / (1+f)  Isc = Isc x M  XFMR: f = (IP(sca) x Vp x %Z) / (100,000 x KVA)  IS(sca) = (Vp x M x IP(sca)) / Vs","The following calculations are based on the ""Point-by Point"" method where:  f = 1.732 x L x I / C x E  M = 1 / (1+f)  Isc = Isc x M  XFMR: f = (IP(sca) x Vp x %Z) / (100,000 x KVA)  IS(sca) = (Vp x M x IP(sca)) / Vs","The following calculations are based on the ""Point-by Point"" method where:  f = 1.732 x L x I / C x E  M = 1 / (1+f)  Isc = Isc x M  XFMR: f = (IP(sca) x Vp x %Z) / (100,000 x KVA)  IS(sca) = (Vp x M x IP(sca)) / Vs","The following calculations are based on the ""Point-by Point"" method where:  f = 1.732 x L x I / C x E  M = 1 / (1+f)  Isc = Isc x M  XFMR: f = (IP(sca) x Vp x %Z) / (100,000 x KVA)  IS(sca) = (Vp x M x IP(sca)) / Vs","The following calculations are based on the ""Point-by Point"" method where:  f = 1.732 x L x I / C x E  M = 1 / (1+f)  Isc = Isc x M  XFMR: f = (IP(sca) x Vp x %Z) / (100,000 x KVA)  IS(sca) = (Vp x M x IP(sca)) / Vs","The following calculations are based on the ""Point-by Point"" method where:  f = 1.732 x L x I / C x E  M = 1 / (1+f)  Isc = Isc x M  XFMR: f = (IP(sca) x Vp x %Z) / (100,000 x KVA)  IS(sca) = (Vp x M x IP(sca)) / Vs","The following calculations are based on the ""Point-by Point"" method where:  f = 1.732 x L x I / C x E  M = 1 / (1+f)  Isc = Isc x M  XFMR: f = (IP(sca) x Vp x %Z) / (100,000 x KVA)  IS(sca) = (Vp x M x IP(sca)) / Vs","The following calculations are based on the ""Point-by Point"" method where:  f = 1.732 x L x I / C x E  M = 1 / (1+f)  Isc = Isc x M  XFMR: f = (IP(sca) x Vp x %Z) / (100,000 x KVA)  IS(sca) = (Vp x M x IP(sca)) / Vs","The following calculations are based on the ""Point-by Point"" method where:  f = 1.732 x L x I / C x E  M = 1 / (1+f)  Isc = Isc x M  XFMR: f = (IP(sca) x Vp x %Z) / (100,000 x KVA)  IS(sca) = (Vp x M x IP(sca)) / Vs",
SOURCE FAULT VALUE DERIVED FROM PREVIOUSLY ENGINEERED PLANS,SOURCE FAULT VALUE DERIVED FROM PREVIOUSLY ENGINEERED PLANS,SOURCE FAULT VALUE DERIVED FROM PREVIOUSLY ENGINEERED PLANS,SOURCE FAULT VALUE DERIVED FROM PREVIOUSLY ENGINEERED PLANS,SOURCE FAULT VALUE DERIVED FROM PREVIOUSLY ENGINEERED PLANS,SOURCE FAULT VALUE DERIVED FROM PREVIOUSLY ENGINEERED PLANS,SOURCE FAULT VALUE DERIVED FROM PREVIOUSLY ENGINEERED PLANS,SOURCE FAULT VALUE DERIVED FROM PREVIOUSLY ENGINEERED PLANS,SOURCE FAULT VALUE DERIVED FROM PREVIOUSLY ENGINEERED PLANS,SOURCE FAULT VALUE DERIVED FROM PREVIOUSLY ENGINEERED PLANS,SOURCE FAULT VALUE DERIVED FROM PREVIOUSLY ENGINEERED PLANS,SOURCE FAULT VALUE DERIVED FROM PREVIOUSLY ENGINEERED PLANS,SOURCE FAULT VALUE DERIVED FROM PREVIOUSLY ENGINEERED PLANS,SOURCE FAULT VALUE DERIVED FROM PREVIOUSLY ENGINEERED PLANS,
Fault Point,Fault Point Description,Source (Fault Point),Source I (amps),Wire/Bus,Wire/Bus,Wire/Bus,Wire/Bus,Wire/Bus,XFMR,XFMR,f,M,Isc,
Fault Point,Fault Point Description,Source (Fault Point),Source I (amps),Conduit Type,Wire/Bus Size,Type,'C' value,E (volts),L (length),KVA,f,M,Isc,Z
1,EXISTING MSB-NORTH,,25044,,,,,,,,,,,22000
2,UCCSHA,1,22000,M,1 Set(s) of 500 KCML,AL,18755,480,210,,,0.889,0.53,11647
3,T-UCCS-LA/LC PRI,2,11647,M,1 Set(s) of 300 KCML,AL,13909,480,12,,,0.036,0.97,11240
4,T-UCCS-LA/LC SEC,3,11240,M,Set(s) of #N/A,,,208,,150,3,1.867,0.35,9048
5,T-UCCS-SA PRI,2,11647,M,1 Set(s) of 6 CU,CU,2425,480,8,,,0.139,0.88,10229
6,T-UCCS-SA SEC,5,10229,M,Set(s) of #N/A,,,208,30,30,4.1,11.609,0.08,1872
