Short-Circuit Calculations,Short-Circuit Calculations.1,Short-Circuit Calculations.2,Short-Circuit Calculations.3,Short-Circuit Calculations.4,Short-Circuit Calculations.5,Short-Circuit Calculations.6,Short-Circuit Calculations.7,Short-Circuit Calculations.8,Short-Circuit Calculations.9,Short-Circuit Calculations.10,Short-Circuit Calculations.11,Short-Circuit Calculations.12,Short-Circuit Calculations.13,Short-Circuit Calculations.14
"The following calculations are based on the ""Point-by Point"" method where: Isc = Isc x M M = 1/(1+f) f = 1.732 x L x I / C x E XFMR: IP(sca) = IP(sca) x Vp x %Z / 100,000xKVA IS(sca) = Vp x M x IS(sca) / Vs","The following calculations are based on the ""Point-by Point"" method where: Isc = Isc x M M = 1/(1+f) f = 1.732 x L x I / C x E XFMR: IP(sca) = IP(sca) x Vp x %Z / 100,000xKVA IS(sca) = Vp x M x IS(sca) / Vs","The following calculations are based on the ""Point-by Point"" method where: Isc = Isc x M M = 1/(1+f) f = 1.732 x L x I / C x E XFMR: IP(sca) = IP(sca) x Vp x %Z / 100,000xKVA IS(sca) = Vp x M x IS(sca) / Vs","The following calculations are based on the ""Point-by Point"" method where: Isc = Isc x M M = 1/(1+f) f = 1.732 x L x I / C x E XFMR: IP(sca) = IP(sca) x Vp x %Z / 100,000xKVA IS(sca) = Vp x M x IS(sca) / Vs","The following calculations are based on the ""Point-by Point"" method where: Isc = Isc x M M = 1/(1+f) f = 1.732 x L x I / C x E XFMR: IP(sca) = IP(sca) x Vp x %Z / 100,000xKVA IS(sca) = Vp x M x IS(sca) / Vs","The following calculations are based on the ""Point-by Point"" method where: Isc = Isc x M M = 1/(1+f) f = 1.732 x L x I / C x E XFMR: IP(sca) = IP(sca) x Vp x %Z / 100,000xKVA IS(sca) = Vp x M x IS(sca) / Vs","The following calculations are based on the ""Point-by Point"" method where: Isc = Isc x M M = 1/(1+f) f = 1.732 x L x I / C x E XFMR: IP(sca) = IP(sca) x Vp x %Z / 100,000xKVA IS(sca) = Vp x M x IS(sca) / Vs","The following calculations are based on the ""Point-by Point"" method where: Isc = Isc x M M = 1/(1+f) f = 1.732 x L x I / C x E XFMR: IP(sca) = IP(sca) x Vp x %Z / 100,000xKVA IS(sca) = Vp x M x IS(sca) / Vs","The following calculations are based on the ""Point-by Point"" method where: Isc = Isc x M M = 1/(1+f) f = 1.732 x L x I / C x E XFMR: IP(sca) = IP(sca) x Vp x %Z / 100,000xKVA IS(sca) = Vp x M x IS(sca) / Vs","The following calculations are based on the ""Point-by Point"" method where: Isc = Isc x M M = 1/(1+f) f = 1.732 x L x I / C x E XFMR: IP(sca) = IP(sca) x Vp x %Z / 100,000xKVA IS(sca) = Vp x M x IS(sca) / Vs","The following calculations are based on the ""Point-by Point"" method where: Isc = Isc x M M = 1/(1+f) f = 1.732 x L x I / C x E XFMR: IP(sca) = IP(sca) x Vp x %Z / 100,000xKVA IS(sca) = Vp x M x IS(sca) / Vs","The following calculations are based on the ""Point-by Point"" method where: Isc = Isc x M M = 1/(1+f) f = 1.732 x L x I / C x E XFMR: IP(sca) = IP(sca) x Vp x %Z / 100,000xKVA IS(sca) = Vp x M x IS(sca) / Vs","The following calculations are based on the ""Point-by Point"" method where: Isc = Isc x M M = 1/(1+f) f = 1.732 x L x I / C x E XFMR: IP(sca) = IP(sca) x Vp x %Z / 100,000xKVA IS(sca) = Vp x M x IS(sca) / Vs","The following calculations are based on the ""Point-by Point"" method where: Isc = Isc x M M = 1/(1+f) f = 1.732 x L x I / C x E XFMR: IP(sca) = IP(sca) x Vp x %Z / 100,000xKVA IS(sca) = Vp x M x IS(sca) / Vs","The following calculations are based on the ""Point-by Point"" method where: Isc = Isc x M M = 1/(1+f) f = 1.732 x L x I / C x E XFMR: IP(sca) = IP(sca) x Vp x %Z / 100,000xKVA IS(sca) = Vp x M x IS(sca) / Vs"
SOURCE FAULT VALUE DERIVED FROM PREVIOUSLY ENGINEERED PLANS,SOURCE FAULT VALUE DERIVED FROM PREVIOUSLY ENGINEERED PLANS,SOURCE FAULT VALUE DERIVED FROM PREVIOUSLY ENGINEERED PLANS,SOURCE FAULT VALUE DERIVED FROM PREVIOUSLY ENGINEERED PLANS,SOURCE FAULT VALUE DERIVED FROM PREVIOUSLY ENGINEERED PLANS,SOURCE FAULT VALUE DERIVED FROM PREVIOUSLY ENGINEERED PLANS,SOURCE FAULT VALUE DERIVED FROM PREVIOUSLY ENGINEERED PLANS,SOURCE FAULT VALUE DERIVED FROM PREVIOUSLY ENGINEERED PLANS,SOURCE FAULT VALUE DERIVED FROM PREVIOUSLY ENGINEERED PLANS,SOURCE FAULT VALUE DERIVED FROM PREVIOUSLY ENGINEERED PLANS,SOURCE FAULT VALUE DERIVED FROM PREVIOUSLY ENGINEERED PLANS,SOURCE FAULT VALUE DERIVED FROM PREVIOUSLY ENGINEERED PLANS,SOURCE FAULT VALUE DERIVED FROM PREVIOUSLY ENGINEERED PLANS,SOURCE FAULT VALUE DERIVED FROM PREVIOUSLY ENGINEERED PLANS,SOURCE FAULT VALUE DERIVED FROM PREVIOUSLY ENGINEERED PLANS
Fault Point,Fault Point Description,Source (Fault Point),Source I (amps),Conduit Type,Wire/Bus,Wire/Bus,Wire/Bus,XFMR,XFMR,XFMR Z,f,M,Isc,
Fault Point,Fault Point Description,Source (Fault Point),Source I (amps),Conduit Type,Wire/Bus Size,Type,'C' value,E (volts),L (length),XFMR Z,f,M,Isc,KVA
1,EXISTING MSB-SOUTH,25044,25044,,,,,,,,,,,25044
2,ISACHA,1,25044,M,1 Set(s) of 500 KCML,AL,18755,480,197,,,0.949,0.51,12848
3,T-ISAC-LA/WA PRI,2,12848,M,1 Set(s) of 2/0,AL,7186,480,12,,,0.077,0.93,11925
4,T-ISAC-LA/WA SEC,3,11925,M,Set(s) of #N/A,,,208,,75,5.2,6.866,0.13,3499
5,T-ISAC-SA PRI,2,12848,M,1 Set(s) of 2/0,AL,7186,480,8,,,0.052,0.95,12218
6,T-ISAC-SA SEC,5,12218,M,Set(s) of #N/A,,,208,,75,5.2,7.034,0.12,3509
