SHEET KEYNOTES,SHEET KEYNOTES.1
P201,"CONNECT NEW 2"" SANITARY FROM POINT OF CONNECTION TO EXISTING 4"" SANITARY PIPE BELOW GRADE."
P202,"CONNECT NEW 2"" VENT FROM POINT OF CONNECTION TO EXISTING 2"" VENT."
P203,"2"" VENT UP FROM MOP SINK."
P204,"CONNECT NEW 4"" SANITARY FROM POINT OF CONNECTION TO 4"" SANITARY PIPE BELOW GRADE."
P205,"CONNECT NEW 3"" SANITARY FROM POINT OF CONNECTION TO 4"" SANITARY PIPE BELOW GRADE."
P206,"CONNECT NEW 2"" VENT FROM POINT OF CONNECTION TO 3"" VENT."
P207,"TERMINATE 3/4"" CONDENSATE DRAIN AT EXISTING MOP SINK WITH A MINIMUM 2"" AIR GAP."
P208,"PROVIDE 3/4"" TRAPPED AND VENTED CONDENSATE DRAIN. SEE DETAIL 32/P7.1."
P210,NEW LAVATORY FIXTURE AND FAUCET CONNECTION TO EXISTING ROUGH-INS.
P211,NEW WATER CLOSET AND FLUSH VALVE CONNECTION TO EXISTING ROUGH-INS.
P212,NEW URINAL AND FLUSH VALVE CONNECTION TO EXISTING ROUGH-INS.
P215,ALTERNATE - REPLACING EXISTING LAVATORY SINK AND FAUCET WITH NEW L-2 SINK AND FAUCET.
P303,"CONNECT NEW 1 1/2"" DOMESTIC COLD WATER FROM POINT OF CONNECTION TO EXISTING 2"" PIPE ABOVE CEILING."
P304,"CONNECT NEW 1"" DOMESTIC HOT WATER FROM POINT OF CONNECTION TO EXISTING 1"" PIPE ABOVE CEILING."
P305,"CONNECT NEW 1"" DOMESTIC HOT WATER RETURN FROM POINT OF CONNECTION TO EXISTING 1"" PIPE ABOVE CEILING."
P307,"CONNECT NEW 1"" DOMESTIC COLD WATER FROM POINT OF CONNECTION TO EXISTING 2"" DOMESTIC COLD WATER."
P309,PROVIDE WATER HAMMER ARRESTOR SIOUX CHIEF 'SIZE A' WITH ACCESS PANEL.
P319,"CONNECT NEW 2"" DOMESTIC COLD WATER FROM POINT OF CONNECTION TO EXISTING 3/4"" DOMESTIC COLD WATER."
P321,"PROVIDE FLOW-SPLITTER UNIT, KEMPER MODEL 651-06 WITH SHUT-OFF VALVES."
