Manufacturer,Product + Subname,Approval Status,Masterformat section,Category,Tag,Remarks
Nicos Group,Wall to Wall Connections - Cleanroom System,,10 26 00 Wall and Door Protection,Wall Finish Accessories,CG-1,STAINLESS STELL INSTALLATION
"9Wood, Inc.",1500 Baffle - Real Wood Veneer,,09 50 00 Ceilings,Ceilings,WV-1,"2 3/4"" DIMENSION"
LDI Interiors,Tuft - Envirowoven™,,09 72 19 Textile Wall Coverings,Upholstery,UPH-1,
USG,Pixels® - Wall Mounted Panels,,09 78 13 Metal Interior Wall Paneling,Wall Finishes,MWP-4,"OAKLINE, STYLE WALLFORMS"
USG,Pixels® - Wall Mounted Panels,,09 78 13 Metal Interior Wall Paneling,Wall Finishes,MWP-3,CHARCOAL 534
USG,Celebration™ - Snap-In Metal Panels,,09 51 33 Acoustical Metal Pan Ceilings,"Ceilings,Wall Finishes",MWP-2,COLOR: CHARCOAL 534
USG,Celebration™ - Snap-In Metal Panels,,09 51 33 Acoustical Metal Pan Ceilings,"Ceilings,Wall Finishes",MWP-1,Color: FLAT BLACK 205
Scuffmaster,Solid Metal - Interior Paint,,09 91 23 Interior Painting,Coatings,P-5,"Color: Solid Metal, SM9502 Install: Metallic Location: Walls & ceilings, watch center Notes: Refer to specifications."
Formica Corporation,ColorCore®2 Compact - Formica® Compact,,06 61 16 Solid Surfacing Fabrications,"Furniture & Furniture Systems,Slabs & Countertops,Laboratories Kitchens Bathrooms & Healthcare",PL-2,
Formica Corporation,ColorCore®2 Compact - Formica® Compact,,06 61 16 Solid Surfacing Fabrications,"Furniture & Furniture Systems,Slabs & Countertops,Laboratories Kitchens Bathrooms & Healthcare",PL-1,
Marlite,Smooth Surface FRP,,09 00 00 Finishes,"Wall Finishes,Ceilings",FRP-1,
Acoufelt,Solid - Wall Panels,,09 51 00 Acoustical Ceilings,"Wall Finishes,Ceilings",WP-1,
Inpro,Surface Mount Corner Guard - Wall Protection,,10 26 00 Wall and Door Protection,Wall Finish Accessories,CG-1,STAINLESS STELL INSTALLATION
Skyline Design,Vitracolor® Back-paint,,,Glazing,GWP-2,
Clarus,Float Depth - Wall Mounted Glass Boards,,09 00 00 Finishes,"Wall Finishes,Ceilings",GWP-1,
Bedrosians,Rectangular Cloé - Ceramic Tile,,09 30 13 Ceramic Tiling,Wall Finishes,T-3,
Bedrosians,"Sahara 3"" x 12"" - Matte Porcelain Tile",,09 30 00 Tiling,"Flooring,Wall Finishes",T-2,
Ann Sacks,Penny Mosaic - Ceramic Tile,,09 30 13 Ceramic Tiling,"Wall Finishes,Flooring",T-1,
Cambria,Cambria Black - Quartz Countertops,,12 36 00 Countertops,Slabs & Countertops,SS-3,
Cambria,Kenwood - Quartz Countertops,,12 36 00 Countertops,Slabs & Countertops,SS-2,
Dunn-Edwards Paints,Suprema® - Ultra Premium Interior Paint,,09 91 00 Painting,Coatings,P-1B,"Color: Cool December DEW383 Install: Semi-Gloss Location: Doors & frames, refer to door schedule"
Bedrosians,Magnifica Solid - Porcelain Tile,,09 30 13 Ceramic Tiling,"Flooring,Wall Finishes",TWB-1,
Roppe,Standard Toe - Pinnacle Rubber Base,,09 65 13 Resilient Base and Accessories,Wall Finish Accessories,WB-2,
Roppe,Standard Toe - Pinnacle Rubber Base,,09 65 13 Resilient Base and Accessories,Wall Finish Accessories,WB-1,
Cambria,St. Isley - Quartz Countertops,,12 36 00 Countertops,Slabs & Countertops,SS-1,
