FINISH SCHEDULE (continued from page 1),FINISH SCHEDULE (continued from page 1),FINISH SCHEDULE (continued from page 1),FINISH SCHEDULE (continued from page 1),FINISH SCHEDULE (continued from page 1),FINISH SCHEDULE (continued from page 1),FINISH SCHEDULE (continued from page 1)
MANUFACTURER,PRODUCT,Unnamed: 2_level_1,CSI SECTION,CATEGORY,TAG,REMARKS
Dunn-Edwards Paints,Everest® - Ultra Premium Interior Paint,,09 91 00 Painting,Coatings,P-4A,"Color: Jet Black DE6378 Install: Flat Location: Gyp ceiling, refer to RCP & elevations"
USG,Barz® - Baffles,,09 54 23 Linear Metal Ceilings,"Wall Finishes,Ceilings",WD-1,"LOBBY CEILING, OAKLINE"
RetroPlate Concrete Polishing System,Concrete Polishing System - Floor Polishing System,,03 35 43 Polished Concrete Finishing,Flooring,CON-1,
Euclid Chemical,Increte Vibra Stain SB - Polished Concrete,,09 93 00 Staining and Transparent Finishing,Coatings,CON-2,
Dunn-Edwards Paints,Suprema® - Ultra Premium Interior Paint,,09 91 00 Painting,Coatings,P-4,"Color: Jet Black Install: Velvet Location: Walls, refer to finish plans"
Bentley Mills,After Dark - Carpet Tile,,09 68 00 Carpeting,Flooring,CPT-1,
Dunn-Edwards Paints,Aristoshield® - Ultra Premium Interior/Exterior Paint,,09 91 00 Painting,Coatings,P-3B,"Color: Charcoal Smudge DE6370 Install: Eggshell Location: Doors & frames, refer to door schedule Notes: Aristoshield 30"
American Gypsum,Interior Ceiling Gypsum Board,,,Sheathing Decking & SIPS,GYP-1,
Bentley Mills,Buzz Worthy - Carpet Tile,,09 68 00 Carpeting,Flooring,CPT-2,
Dunn-Edwards Paints,Everest® - Ultra Premium Interior Paint,,09 91 00 Painting,Coatings,P-3A,"Color: Charcoal Smudge DE6370 Install: Flat Location: Gyp ceiling, refer to RCP & elevations"
Interface,Karmic Relief - Rising Signs,,09 68 00 Carpeting,Flooring,CPT-3,
Dunn-Edwards Paints,Everest® - Ultra Premium Interior Paint,,09 91 00 Painting,Coatings,P-2A,"Color: Filtered Rays DE5438 Install: Flat Location: Gyp ceiling, refer to RCP & elevations"
Mohawk Group,Metalmorphic BT388,,09 68 13 Tile Carpeting,Flooring,CPT-4,
Mohawk Group,Metalmorphic BT388,,09 68 13 Tile Carpeting,Flooring,CPT-5,
USG,Compositions® - Decorative Clouds,,09 54 00 Specialty Ceilings,"Ceilings,Wall Finishes",ACT-4,
Mohawk Group,LineD - 12 in x 36 in Carpet Tile,,09 68 13 Tile Carpeting,Flooring,CPT-6,
Mohawk Group,Line of Motion GT369,,09 68 13 Tile Carpeting,Flooring,CPT-7,
Shaw Contract,Reed Sheet - Resilient Sheet,,09 65 33 Conductive Resilient Flooring,Flooring,ESD-1,
Tile Point,Beige 24x24 Porcelain Tile - Plymouth,,09 30 13 Ceramic Tiling,"Wall Finishes,Flooring",FLT-1,
USG,Sheetrock® Brand - Clean Room™ Lay-in Gypsum Ceiling Panels,,09 51 00 Acoustical Ceilings,Ceilings,ACT-3,
Sound Seal,Chroma ( Paintable ) - Acoustic Wall Panel,,09 84 13 Fixed Sound-Absorptive Panels,"Ceilings,Wall Finishes",ACT-2,"DIRECT MOUNT TO STRUCTURE, COLOR: WHITE, PAINT-READY FIBER VEIL, SIZE 2' X 4', LOCATION: AS NOTED ON RCP"
