FINISH SCHEDULE (continued from page 2),FINISH SCHEDULE (continued from page 2),FINISH SCHEDULE (continued from page 2),FINISH SCHEDULE (continued from page 2),FINISH SCHEDULE (continued from page 2),FINISH SCHEDULE (continued from page 2)
MANUFACTURER,PRODUCT,SPECIFICATION SECTION,CATEGORY,SYMBOL,NOTES
USG,Mars™ High-NRC/High-CAC - Acoustical Panels,09 51 13 Acoustical Panel Ceilings,Ceilings,ACT-1,VITREOUS CHINA. PROVIDE MANUFACTURER AND MODEL NUMBER AS LISTED OR APPROVED EQUAL. CODE REQUIRES 1.1 GPF OR LESS.
"Decorative Films, LLC.",SOLYX SXB-74-UG - Middle Grey Sand Blast,,Glazing Films,GLF-2,
"Decorative Films, LLC.",SOLYX SXB-74-UG - Middle Grey Sand Blast,,Glazing Films,GLF-1,
Mecho,"SoHo - 1100 Series, 1600 Series, 1900 Series",12 24 13 Roller Window Shades,Shutters Curtains & Window Treatments,RSH-2,"FASCIA AND HARDWARE TO BE CLEAR ANODIZED, MANUAL"
Mecho,"SoHo - 1100 Series, 1600 Series, 1900 Series",12 24 13 Roller Window Shades,Shutters Curtains & Window Treatments,RSH-01,"FASCIA AND HARDWARE TO BE CLEAR ANODIZED, MANUAL"
Dunn-Edwards Paints,Everest® - Ultra Premium Interior Paint,09 91 00 Painting,Coatings,P-1,LEED V5 MRc4 Building Product Selection and Procurement Multi- Attribute Score minimum of 5 Color: Cool December DEW383 Install: Egg-Shell Location: As noted on plans
Dunn-Edwards Paints,Enduracat® - Light Duty Pre- Catalyzed Waterbased Epoxy,09 97 13 Steel Coatings,Coatings,P-1C,"P-1C Color: Cool December DEW383 Install: Flat Location: Gyp ceilings throughout, U. N.O"
Dunn-Edwards Paints,Everest® - Ultra Premium Interior Paint,09 91 00 Painting,Coatings,P-1A,"Color: Cool December DEW383 Install: Semi-Gloss Location: Doors & frames, refer to door schedule"
Dunn-Edwards Paints,Everest® - Ultra Premium Interior Paint,09 91 00 Painting,Coatings,P-2,"Color: Filtered Rays DE5438 Install: Eggshell Location: Walls, refer to finish plans"
Dunn-Edwards Paints,Suprema® - Ultra Premium Interior Paint,09 91 00 Painting,Coatings,P-3,"Color: Charcoal Smudge DE6370 Install: Velvet Location: Walls, refer to finish plans"
