Manufacturer,Product + Subname,Approval Status,Masterformat section,Category,Tag,Remarks
Elkay,EFA8L1Z,,,Plumbing Fixtures Accessories & Distribution,DF-2,PROVIDE MANUFACTURER AND MODEL NUMBER AS LISTED OR APPROVED EQUAL.
Insinkerator,"Badger 5 Garbage Disposal, 1/2 HP",,22 41 26 Residential Disposers,Trash Recycling & Waste Systems,GD-1,PROVIDE MANUFACTURER AND MODEL NUMBER AS LISTED OR APPROVED EQUAL. 120 V
Victoria + Albert,High Performance Hot Water Tank | Model Number: U.1998,,,Plumbing Fixtures Accessories & Distribution,EWH-1,ELECTRIC WATER HEATER. PROVIDE MANUFACTURER AND MODEL AS LISTED OR APPROVED EQUAL.
Colmac WaterHeat,CXW Series - Water Source Heat Pump Water Heater,,,Specialty Equipment & Appliances,DWH-1,ELECTRIC STORAGE DOMESTIC WATER HEATER. REFER TO SPEC 22 33 00.
Elkay,FLR-3X,,,Plumbing Fixtures Accessories & Distribution,MS-1,PROVIDE MANUFACTURER AND MODEL NUMBER AS LISTED OR APPROVED EQUAL.
American Standard,Aspirations Under Counter Sink,,22 40 00 Plumbing Fixtures,Plumbing Fixtures Accessories & Distribution,L-2,PROVIDE ASSE 1070 DEVICE. PROVIDE MANUFACTURER AND MODEL NUMBER AS LISTED OR APPROVED EQUAL.
American Standard,Studio Under Counter Sink,,22 40 00 Plumbing Fixtures,Plumbing Fixtures Accessories & Distribution,L-1,PROVIDE ASSE 1070 DEVICE. PROVIDE MANUFACTURER AND MODEL NUMBER AS LISTED OR APPROVED EQUAL.
Elkay,"Circuit Chef Workstation Stainless Steel 45-1/2"" x 20- 1/2"" x 10"" Single Bowl Undermount Sink Kit - with White Polymer Boards",,,Plumbing Fixtures Accessories & Distribution,KS-1,PROVIDE MANUFACTURER AND MODEL NUMBER AS LISTED OR APPROVED EQUAL.
Zurn,Zurn One EcoVantage® Urinal System wih Top Mount 0.125 GPF Hydropower Sensor Flush Valve,,,Plumbing Fixtures Accessories & Distribution,U-1,"VITREOUS CHINA, WALL- MOUNT. PROVIDE MANUFACTURER AND MODEL NUMBER AS LISTED OR APPROVED EQUAL."
American Standard,"Afwall Millennium Wall-Hung Toilet System - EverClean with Touchless Selectronic Piston Flush Valve, 1.28 gpf/4.8 Lpf",,22 40 00 Plumbing Fixtures,Plumbing Fixtures Accessories & Distribution,WC-2,FIXTURE SHALL BE WATERSENSE LABELED. PROVIDE MANUFACTURER AND MODEL NUMBER AS LISTED OR APPROVED EQUAL.
